id,title,label,latintoponym,pleiades,welchid,golvinid,buildingtype,chronogroup,secondcentury,capacity,modcountry,romanregion,zotero,amphitheatrum,dimensionsunknown,arenamajor,arenaminor,extmajor,extminor,exteriorheight,longitude,latitude,elevation
carsulaeAmphitheater,Amphitheater at Carsulae,Carsulae,Carsulae,https://pleiades.stoa.org/places/413065,,80,amphitheater,late-first-century,TRUE,5945,Italy,regio-vi,,https://amphi-theatrum.de/1512.html,FALSE,62.1,37.6,86.5,62,,12.559172,42.639468,438
florenceAmphitheater,Amphitheater at Florence,Florence,Florentia,https://pleiades.stoa.org/places/413138,,140,amphitheater,hadrianic,TRUE,,Italy,regio-vii,,https://amphi-theatrum.de/1387.html,FALSE,64,40,113,89,,11.2595198,43.7687303,47
ocriculumAmphitheater,Amphitheater at Ocriculum,Ocriculcum,Ocricoli,https://pleiades.stoa.org/places/413231,,142,amphitheater,imperial,TRUE,17812,Italy,regio-vi,,https://amphi-theatrum.de/2878.html,FALSE,64,42,120,98,,12.4671905,42.4115648,86
lixusAmphitheater,Amphitheater at Lixus,Lixus,Lixus,https://pleiades.stoa.org/places/275666,,,amphitheater,imperial,TRUE,,Morocco,mauretania,,https://amphi-theatrum.de/3043.html,FALSE,34,28,,,,-6.1084683,35.19990039,52
arezzoAmphitheater,Amphitheater at Arezzo,Arezzo,Arretium,https://pleiades.stoa.org/places/413032,,149,amphitheater,flavian,TRUE,8000,Italy,regio-vii,,https://amphi-theatrum.de/1398.html,FALSE,71.9,42.7,109.4,80,,11.88037,43.460491,263
larinoAmphitheater,Amphitheater at Larinum,Larinum,Larinum,https://pleiades.stoa.org/places/442629,,,amphitheater,imperial,TRUE,,Italy,regio-ii,,https://amphi-theatrum.de/1609.html,FALSE,57,40,98,86,,14.9159226,41.8058428,406
lucusFeroniaeAmphitheater,Amphitheater at Lucus Feroniae,Lucus Feroniae,Lucus Feroniae,https://pleiades.stoa.org/places/413184,16,145,amphitheater,julio-claudian,TRUE,1844,Italy,regio-vii,,https://amphi-theatrum.de/2923.html,FALSE,34,32,46,44,,12.594868,42.129831,52
ferentoAmphitheater,Amphitheater at Ferento,Ferento,Ferentium,https://pleiades.stoa.org/places/413184,16,9,amphitheater,republican,TRUE,,Italy,regio-vii,,https://amphi-theatrum.de/1470.html,FALSE,,,68,40,,12.139272,42.491986,288
allifaeAmphitheater,Amphitheater at Allifae,Allifae,Allifae,https://pleiades.stoa.org/places/432658,,,amphitheater,imperial,TRUE,,Italy,regio-i,,https://amphi-theatrum.de/2038.html,FALSE,72,48,107,84,,14.334997,41.325601,106
cimiezAmphitheater,Amphitheater at Cimiéz,Cimiez,Cemenelum,https://pleiades.stoa.org/places/157834,,16,amphitheater,julio-claudian,TRUE,4245,France,narbonensis,WFCBSKSY,https://amphi-theatrum.de/1481.html,FALSE,46,34,67,56,,7.2752435,43.71967279,112
hydataHypsitanaForumTraianiAmphitheater,Amphitheater at Hydata Hypsitana/Forum Traiani,Forum Traiani,Forum Traiani,https://pleiades.stoa.org/places/471947,,,amphitheater,imperial,TRUE,,Italy,corsica-et-sardinia,,https://amphi-theatrum.de/2959.html,FALSE,40,32,,,,8.804698,39.993171,49
luccaAmphitheater,Amphitheater at Lucca,Lucca,Luca,https://pleiades.stoa.org/places/403234,,135,amphitheater,imperial,TRUE,15048,Italy,regio-vii,,https://amphi-theatrum.de/1390.html,FALSE,80,53,124,96,,10.5057722,43.8455202,19
hispellumAmphitheater,Amphitheater at Spello,Spello,Hispellum,https://pleiades.stoa.org/places/413170,,,amphitheater,first-century,TRUE,,Italy,regio-vi,,https://amphi-theatrum.de/1595.html,FALSE,,,82,,,12.6662021,42.9957909,211
veronaAmphitheater,Amphitheater at Verona,Verona,Verona,https://pleiades.stoa.org/places/383816,,,amphitheater,julio-claudian,TRUE,30000,Italy,regio-x,,https://amphi-theatrum.de/1369.html,FALSE,75.68,44.43,152.43,123.42,,10.99435,45.43904,62
aquincumCivilAmphitheater,Civil Amphitheater at Budapest,Aquincum (Civilian),Aquincum,https://pleiades.stoa.org/places/197130,,125,amphitheater,imperial,TRUE,8617,Hungary,pannonia,,https://amphi-theatrum.de/1457.html,FALSE,51,42,86.5,75.5,,19.047985,47.567577,105
